SISRS_Split,Tree_Split,Node_Age_10000,Node_Age_50000
1,38,21.666190252375607,21.69504271053966
2,40,28.87447407485866,28.918617037474768
3,41,14.472817012102794,14.488077366467301
4,42,9.589450275132954,9.589905389036254
5,43,4.828766944528631,4.849963622415203
6,44,4.811311522710021,4.832119942435604
7,45,14.566420343806627,14.5740912427188
8,46,9.469777134214283,9.49857023988681
9,47,4.976914711168007,4.93764601873626
10,48,2.3613894630175096,2.5008463933493488
11,39,43.30043276278165,43.37167871299283
12,50,29.869987920880053,30.036056169645597
13,51,15.19016977534043,15.257474953707309
14,52,21.025523339209144,20.73763239508505
15,53,9.369665407160248,9.499057050115262
16,54,13.994389357473388,13.821942301486011
17,55,5.397856250826507,5.621280964507697
18,56,11.422995407468825,11.11131748210402
19,57,2.057182753604039,2.2825964433995907
20,58,9.269430513337994,8.846320204150722
21,59,2.8992511984357705,2.9362915154387395
22,60,1.3721762934430828,1.4418150350492809
24,61,46.48703042047751,46.66604603111654
25,62,37.677584350683894,37.70341349848377
26,63,28.298384051485904,28.31092501791486
27,64,18.78475696645986,18.800674683690552
28,65,9.4144814934766,9.420707553069413
29,66,14.14768472018315,14.152549596286356
30,67,7.036864882712258,7.0487181465459585
31,68,18.83456763788209,18.84896145407741
32,69,23.550679026934148,23.567681207094083
33,70,28.265442383012747,28.285249885115967
